Domain,Expected Mailboxes,Actual Mailboxes,Healthy Mailboxes,Total Sent,Total Replied,Avg Reply Rate %,Purchase Type
greggblanchardagencyinsurancecenter.com,3,3,3,710,12,1.69,TRANSFER
greggblanchardagencydiscount.com,3,3,3,705,6,0.85,TRANSFER
schmitzagencyprosusa.com,3,3,3,569,3,0.53,TRANSFER
agentfarmers.com,3,3,3,3320,24,0.72,TRANSFER
schmitzagencyinsuranceinc.com,3,3,3,581,6,1.03,TRANSFER
nicksakhapartnersinc.com,3,3,3,1336,6,0.45,TRANSFER
streetsmartquote.com,2,2,2,2987,85,2.85,TRANSFER
streetsmartpolicy.com,2,2,2,2947,53,1.80,TRANSFER
schmitzagencyinsurancellc.com,3,3,3,569,4,0.70,TRANSFER
greggblanchardagencyins.com,3,3,3,695,7,1.01,TRANSFER
thestreetsmartinsurance.com,2,2,2,2978,94,3.16,TRANSFER
nicksakhasolutionsinc.com,3,3,3,1263,12,0.95,TRANSFER
agentfarmersco.com,3,3,3,3337,38,1.14,TRANSFER
greggblanchardagencyguide.com,3,3,3,662,11,1.66,TRANSFER
agentfarmersexpert.com,3,3,3,3232,40,1.24,TRANSFER
greggblanchardagencyinsurancegroup.com,3,3,3,673,9,1.34,TRANSFER
greggblanchardagencyenterprises.com,3,3,3,695,8,1.15,TRANSFER
schmitzagencynow.com,3,3,3,565,3,0.53,TRANSFER
kimwallace-policy.com,2,2,2,3267,19,0.58,TRANSFER
thedevinagencyco.com,3,3,3,2435,26,1.07,TRANSFER
schmitzagencyquotesonline.com,3,3,3,569,5,0.88,TRANSFER
schmitzagencyone.com,3,3,3,543,4,0.74,TRANSFER
schmitzagencyinsuranceservices.com,3,3,3,559,7,1.25,TRANSFER
streetsmartshield.com,2,2,2,3118,114,3.66,TRANSFER
greggblanchardagencyinc.com,3,3,3,683,4,0.59,TRANSFER
schmitzagencyinsuranceplus.com,3,3,3,567,4,0.71,TRANSFER
nicksakhaservicesinc.com,3,3,3,1230,11,0.89,TRANSFER
schmitzagencyinsuranceworks.com,3,3,3,559,7,1.25,TRANSFER
nicksakhaprotectionservices.com,3,3,3,1366,10,0.73,TRANSFER
schmitzagencypartners.com,3,3,3,562,5,0.89,TRANSFER
greggblanchardagencycoverageusa.com,3,3,3,649,14,2.16,TRANSFER
schmitzagencyinsurancerisk.com,3,3,3,570,7,1.23,TRANSFER
agentfarmersincs.com,3,3,3,3196,49,1.53,TRANSFER
schmitzagencyplanpro.com,3,3,3,572,7,1.22,TRANSFER
schmitzagencyquotenow.com,3,3,3,565,8,1.42,TRANSFER
kimwallaceprotection.com,2,2,2,3276,30,0.92,TRANSFER
streetsmartpolicypro.com,2,2,2,3105,87,2.80,TRANSFER
schmitzagencyquotesfast.com,3,3,3,563,8,1.42,TRANSFER
streetsmartpremium.com,2,2,2,3075,87,2.83,TRANSFER
greggblanchardagencyclientportal.com,3,3,3,692,3,0.43,TRANSFER
greggblanchardagencyinsuranceglobal.com,3,3,3,677,10,1.48,TRANSFER
greggblanchardagencycommunity.com,3,3,3,715,6,0.84,TRANSFER
schmitzagencyinsuranceltd.com,3,3,3,557,14,2.51,TRANSFER
schmitzagencyplanstore.com,3,3,3,571,12,2.10,TRANSFER
greggblanchardagencyriskadvisors.com,3,3,3,698,5,0.72,TRANSFER
schmitzagencyinsurancehub.com,3,3,3,595,4,0.67,TRANSFER
greggblanchardagencyelitepro.com,3,3,3,695,8,1.15,TRANSFER
greggblanchardagencyexpertsglobal.com,3,3,3,691,9,1.30,TRANSFER
greggblanchardagencyinsuranceco.com,3,3,3,676,8,1.18,TRANSFER
greggblanchardagencyriskadvisor.com,3,3,3,703,7,1.00,TRANSFER
agentfarmershub.com,3,3,3,3384,30,0.89,TRANSFER
greggblanchardagencyinsurancedeals.com,3,3,3,704,11,1.56,TRANSFER
greggblanchardagencyfusion.com,3,3,3,684,7,1.02,TRANSFER
agentfarmerspros.com,3,3,3,3365,49,1.46,TRANSFER
nicksakhapros.com,3,3,3,1379,8,0.58,TRANSFER
schmitzagencyshop.com,3,3,3,573,8,1.40,TRANSFER
agentfarmersllcs.com,3,3,3,3265,46,1.41,TRANSFER
agentfarmersinfo.com,3,3,3,3325,33,0.99,TRANSFER
greggblanchardagencyfast.com,3,3,3,686,4,0.58,TRANSFER
schmitzagencytotal.com,3,3,3,559,6,1.07,TRANSFER
kimwallacepersonalquote.com,2,2,2,3270,27,0.83,TRANSFER
greggblanchardagencyfirst.com,3,3,3,695,9,1.29,TRANSFER
nicksakhapartnersllc.com,3,3,3,1369,19,1.39,TRANSFER
schmitzagencyplanonline.com,3,3,3,584,4,0.68,TRANSFER
nicksakhaprotectionpartners.com,3,3,3,1391,15,1.08,TRANSFER
nicksakhariskgroup.com,3,3,3,1294,13,1.00,TRANSFER
