Domain,Classification,Expected Mailboxes,Actual Mailboxes,Burnt Mailboxes,Healthy Mailboxes,Low Volume Mailboxes,Total Sent,Total Replied,Avg Reply Rate %,Purchase Type
schmitzagencysolutions.com,MIXED,3,3,1,2,0,600,4,0.67,TRANSFER
kimwallacepolicyreview.com,MIXED,2,2,1,1,0,2516,19,0.76,TRANSFER
schmitzagencywealth.com,MIXED,3,3,1,2,0,575,3,0.52,TRANSFER
nicksakhapartners.com,MIXED,3,3,1,2,0,1426,6,0.42,TRANSFER
agentfarmerspro.com,MIXED,3,3,1,2,0,3255,32,0.98,TRANSFER
nicksakhaservices.com,MIXED,0,3,2,1,0,1228,9,0.73,TRANSFER
nicksakhapartnersco.com,MIXED,3,3,1,2,0,1402,8,0.57,TRANSFER
devinagencyteam.com,MIXED,3,3,1,2,0,2375,18,0.76,TRANSFER
greggblanchardagencyincs.com,MIXED,3,3,1,2,0,697,4,0.57,TRANSFER
greggblanchardagencyessential.com,MIXED,3,3,1,2,0,676,7,1.04,TRANSFER
devinagencycapital.com,MIXED,3,3,1,2,0,2381,14,0.59,TRANSFER
schmitzagencysolutionsusa.com,MIXED,3,3,1,2,0,589,10,1.70,TRANSFER
devinagencyplus.com,MIXED,3,3,1,2,0,2388,11,0.46,TRANSFER
nicksakhariskamerica.com,MIXED,0,2,1,1,0,811,11,1.36,TRANSFER
greggblanchardagencyassurance.com,MIXED,3,3,1,2,0,663,9,1.36,TRANSFER
greggblanchardagencyinsurancecorp.com,MIXED,3,3,1,2,0,680,5,0.74,TRANSFER
schmitzagencyinsuranceplans.com,MIXED,3,3,1,2,0,597,5,0.84,TRANSFER
greggblanchardagencyeasy.com,MIXED,3,3,1,2,0,691,5,0.72,TRANSFER
greggblanchardagencyexpress.com,MIXED,3,3,1,2,0,660,4,0.61,TRANSFER
greggblanchardagencyinsuranceamerica.com,MIXED,3,3,1,2,0,703,3,0.43,TRANSFER
greggblanchardagencycoverageteam.com,MIXED,3,3,1,2,0,712,5,0.70,TRANSFER
greggblanchardagencyinsure.com,MIXED,3,3,1,2,0,666,5,0.75,TRANSFER
greggblanchardagencyrisk.com,MIXED,3,3,1,2,0,696,5,0.72,TRANSFER
schmitzagencyworks.com,MIXED,3,3,1,2,0,564,4,0.71,TRANSFER
nicksakhariskglobal.com,MIXED,0,3,1,2,0,1250,9,0.72,TRANSFER
nicksakhariskllc.com,MIXED,3,3,1,2,0,1279,7,0.55,TRANSFER
nicksakhapartnersusa.com,MIXED,0,3,1,2,0,1349,6,0.44,TRANSFER
schmitzagencyinsuranceportal.com,MIXED,3,3,2,1,0,566,6,1.06,TRANSFER
schmitzagencyriskmgmt.com,HEALTHY,3,3,0,3,0,571,7,1.23,TRANSFER
schmitzagencyinsurancepros.com,HEALTHY,3,3,0,3,0,583,7,1.20,TRANSFER
streetsmartplans.com,HEALTHY,2,2,0,2,0,2971,120,4.04,TRANSFER
kimwallaceinsurancesolutions.com,HEALTHY,2,2,0,2,0,3291,18,0.55,TRANSFER
devinagencyconnect.com,HEALTHY,3,3,0,3,0,2343,18,0.77,TRANSFER
nicksakhaplan.com,HEALTHY,3,3,0,3,0,1416,18,1.27,TRANSFER
nicksakhariskservices.com,HEALTHY,3,3,0,3,0,1289,9,0.70,TRANSFER
nicksakharisk.com,HEALTHY,3,3,0,3,0,1275,9,0.71,TRANSFER
schmitzagencyshield.com,HEALTHY,3,3,0,3,0,555,10,1.80,TRANSFER
nicksakhaservicesllc.com,HEALTHY,3,3,0,3,0,1263,14,1.11,TRANSFER
nicksakhasolutionsamerica.com,HEALTHY,3,3,0,3,0,1265,12,0.95,TRANSFER
schmitzagencyquotes.com,HEALTHY,3,3,0,3,0,565,7,1.24,TRANSFER
kimwallaceplan.com,HEALTHY,2,2,0,2,0,3281,21,0.64,TRANSFER
schmitzagencytrust.com,HEALTHY,3,3,0,3,0,584,5,0.86,TRANSFER
schmitzagencytoday.com,HEALTHY,3,3,0,3,0,578,10,1.73,TRANSFER
nicksakhallc.com,HEALTHY,3,3,0,3,0,1382,17,1.23,TRANSFER
nicksakhaprotectionusa.com,HEALTHY,3,3,0,3,0,1350,13,0.96,TRANSFER
thedevinagencyworks.com,HEALTHY,3,3,0,3,0,2453,26,1.06,TRANSFER
nicksakhanationwide.com,HEALTHY,3,3,0,3,0,1375,13,0.95,TRANSFER
nicksakhasolutionsco.com,HEALTHY,3,3,0,3,0,1277,10,0.78,TRANSFER
nicksakhapartnerscorp.com,HEALTHY,3,3,0,3,0,1377,12,0.87,TRANSFER
agentfarmerssupport.com,HEALTHY,3,3,0,3,0,3298,29,0.88,TRANSFER
kimwallaceintexas.com,HEALTHY,2,2,0,2,0,3271,31,0.95,TRANSFER
kimwallace-policyplans.com,HEALTHY,2,2,0,2,0,3260,30,0.92,TRANSFER
greggblanchardagencyfocus.com,HEALTHY,3,3,0,3,0,713,8,1.12,TRANSFER
thedevinagencypros.com,HEALTHY,3,3,0,3,0,2357,22,0.93,TRANSFER
nicksakhainsuranceworks.com,HEALTHY,3,3,0,3,0,1406,9,0.64,TRANSFER
nicksakhaprotectionco.com,HEALTHY,3,3,0,3,0,1374,15,1.09,TRANSFER
streetsmartprotect.com,HEALTHY,2,2,0,2,0,3022,161,5.33,TRANSFER
nicksakhaprotectiongroup.com,HEALTHY,3,3,0,3,0,1394,13,0.93,TRANSFER
nicksakharisksolutions.com,HEALTHY,3,3,0,3,0,1274,13,1.02,TRANSFER
nicksakhaprotectionamerica.com,HEALTHY,3,3,0,3,0,1381,7,0.51,TRANSFER
greggblanchardagencygroupinc.com,HEALTHY,3,3,0,3,0,610,4,0.66,TRANSFER
nicksakhaprotectioncorp.com,HEALTHY,3,3,0,3,0,1390,13,0.94,TRANSFER
nicksakhaservicesglobal.com,HEALTHY,3,3,0,3,0,1232,9,0.73,TRANSFER
nicksakhapartnersglobal.com,HEALTHY,3,3,0,3,0,1394,10,0.72,TRANSFER
nicksakhallcs.com,HEALTHY,3,3,0,3,0,1397,11,0.79,TRANSFER
devinagencyinsure.com,HEALTHY,3,3,0,3,0,2448,27,1.10,TRANSFER
nicksakhaprotectionltd.com,HEALTHY,3,3,0,3,0,1373,9,0.66,TRANSFER
thedevinagencyteam.com,HEALTHY,3,3,0,3,0,2444,20,0.82,TRANSFER
nicksakhainsurepros.com,HEALTHY,3,3,0,3,0,1399,10,0.71,TRANSFER
kimwallaceinsurancetexas.com,HEALTHY,2,2,0,2,0,3261,29,0.89,TRANSFER
devinagencysocial.com,HEALTHY,3,3,0,3,0,2451,17,0.69,TRANSFER
streetsmartsecure.com,HEALTHY,2,2,0,2,0,3099,117,3.78,TRANSFER
greggblanchardagencycoveragemax.com,HEALTHY,3,3,0,3,0,682,6,0.88,TRANSFER
nicksakhasolutions.com,HEALTHY,3,3,0,3,0,1276,12,0.94,TRANSFER
greggblanchardagencyinsured.com,HEALTHY,3,3,0,3,0,671,5,0.75,TRANSFER
streetsmartriskpro.com,HEALTHY,2,2,0,2,0,2956,65,2.20,TRANSFER
kimwallaceinsurance.com,HEALTHY,2,2,0,2,0,3371,24,0.71,TRANSFER
schmitzagencypros.com,HEALTHY,3,3,0,3,0,569,4,0.70,TRANSFER
kimwallaceinsured.com,HEALTHY,2,2,0,2,0,3361,24,0.71,TRANSFER
schmitzagencyllc.com,HEALTHY,3,3,0,3,0,578,9,1.56,TRANSFER
schmitzagencyonline.com,HEALTHY,3,3,0,3,0,573,8,1.40,TRANSFER
schmitzagencyplus.com,HEALTHY,3,3,0,3,0,553,10,1.81,TRANSFER
schmitzagencyservices.com,HEALTHY,3,3,0,3,0,575,13,2.26,TRANSFER
schmitzagencyltds.com,HEALTHY,3,3,0,3,0,619,6,0.97,TRANSFER
schmitzagencyprime.com,HEALTHY,3,3,0,3,0,572,7,1.22,TRANSFER
greggblanchardagencyriskmanagement.com,HEALTHY,3,3,0,3,0,675,7,1.04,TRANSFER
greggblanchardagencydeals.com,HEALTHY,3,3,0,3,0,685,9,1.31,TRANSFER
greggblanchardagencycoveragehub.com,HEALTHY,3,3,0,3,0,689,7,1.02,TRANSFER
greggblanchardagencyinsurancecenter.com,HEALTHY,3,3,0,3,0,710,12,1.69,TRANSFER
greggblanchardagencydiscount.com,HEALTHY,3,3,0,3,0,705,6,0.85,TRANSFER
schmitzagencyprosusa.com,HEALTHY,3,3,0,3,0,569,3,0.53,TRANSFER
agentfarmers.com,HEALTHY,3,3,0,3,0,3320,24,0.72,TRANSFER
schmitzagencyinsuranceinc.com,HEALTHY,3,3,0,3,0,581,6,1.03,TRANSFER
nicksakhapartnersinc.com,HEALTHY,3,3,0,3,0,1336,6,0.45,TRANSFER
streetsmartquote.com,HEALTHY,2,2,0,2,0,2987,85,2.85,TRANSFER
streetsmartpolicy.com,HEALTHY,2,2,0,2,0,2947,53,1.80,TRANSFER
schmitzagencyinsurancellc.com,HEALTHY,3,3,0,3,0,569,4,0.70,TRANSFER
greggblanchardagencyins.com,HEALTHY,3,3,0,3,0,695,7,1.01,TRANSFER
thestreetsmartinsurance.com,HEALTHY,2,2,0,2,0,2978,94,3.16,TRANSFER
nicksakhasolutionsinc.com,HEALTHY,3,3,0,3,0,1263,12,0.95,TRANSFER
agentfarmersco.com,HEALTHY,3,3,0,3,0,3337,38,1.14,TRANSFER
greggblanchardagencyguide.com,HEALTHY,3,3,0,3,0,662,11,1.66,TRANSFER
agentfarmersexpert.com,HEALTHY,3,3,0,3,0,3232,40,1.24,TRANSFER
greggblanchardagencyinsurancegroup.com,HEALTHY,3,3,0,3,0,673,9,1.34,TRANSFER
greggblanchardagencyenterprises.com,HEALTHY,3,3,0,3,0,695,8,1.15,TRANSFER
schmitzagencynow.com,HEALTHY,3,3,0,3,0,565,3,0.53,TRANSFER
kimwallace-policy.com,HEALTHY,2,2,0,2,0,3267,19,0.58,TRANSFER
thedevinagencyco.com,HEALTHY,3,3,0,3,0,2435,26,1.07,TRANSFER
schmitzagencyquotesonline.com,HEALTHY,3,3,0,3,0,569,5,0.88,TRANSFER
schmitzagencyone.com,HEALTHY,3,3,0,3,0,543,4,0.74,TRANSFER
schmitzagencyinsuranceservices.com,HEALTHY,3,3,0,3,0,559,7,1.25,TRANSFER
streetsmartshield.com,HEALTHY,2,2,0,2,0,3118,114,3.66,TRANSFER
greggblanchardagencyinc.com,HEALTHY,3,3,0,3,0,683,4,0.59,TRANSFER
schmitzagencyinsuranceplus.com,HEALTHY,3,3,0,3,0,567,4,0.71,TRANSFER
nicksakhaservicesinc.com,HEALTHY,3,3,0,3,0,1230,11,0.89,TRANSFER
schmitzagencyinsuranceworks.com,HEALTHY,3,3,0,3,0,559,7,1.25,TRANSFER
nicksakhaprotectionservices.com,HEALTHY,3,3,0,3,0,1366,10,0.73,TRANSFER
schmitzagencypartners.com,HEALTHY,3,3,0,3,0,562,5,0.89,TRANSFER
greggblanchardagencycoverageusa.com,HEALTHY,3,3,0,3,0,649,14,2.16,TRANSFER
schmitzagencyinsurancerisk.com,HEALTHY,3,3,0,3,0,570,7,1.23,TRANSFER
agentfarmersincs.com,HEALTHY,3,3,0,3,0,3196,49,1.53,TRANSFER
schmitzagencyplanpro.com,HEALTHY,3,3,0,3,0,572,7,1.22,TRANSFER
schmitzagencyquotenow.com,HEALTHY,3,3,0,3,0,565,8,1.42,TRANSFER
kimwallaceprotection.com,HEALTHY,2,2,0,2,0,3276,30,0.92,TRANSFER
streetsmartpolicypro.com,HEALTHY,2,2,0,2,0,3105,87,2.80,TRANSFER
schmitzagencyquotesfast.com,HEALTHY,3,3,0,3,0,563,8,1.42,TRANSFER
streetsmartpremium.com,HEALTHY,2,2,0,2,0,3075,87,2.83,TRANSFER
greggblanchardagencyclientportal.com,HEALTHY,3,3,0,3,0,692,3,0.43,TRANSFER
greggblanchardagencyinsuranceglobal.com,HEALTHY,3,3,0,3,0,677,10,1.48,TRANSFER
greggblanchardagencycommunity.com,HEALTHY,3,3,0,3,0,715,6,0.84,TRANSFER
schmitzagencyinsuranceltd.com,HEALTHY,3,3,0,3,0,557,14,2.51,TRANSFER
schmitzagencyplanstore.com,HEALTHY,3,3,0,3,0,571,12,2.10,TRANSFER
greggblanchardagencyriskadvisors.com,HEALTHY,3,3,0,3,0,698,5,0.72,TRANSFER
schmitzagencyinsurancehub.com,HEALTHY,3,3,0,3,0,595,4,0.67,TRANSFER
greggblanchardagencyelitepro.com,HEALTHY,3,3,0,3,0,695,8,1.15,TRANSFER
greggblanchardagencyexpertsglobal.com,HEALTHY,3,3,0,3,0,691,9,1.30,TRANSFER
greggblanchardagencyinsuranceco.com,HEALTHY,3,3,0,3,0,676,8,1.18,TRANSFER
greggblanchardagencyriskadvisor.com,HEALTHY,3,3,0,3,0,703,7,1.00,TRANSFER
agentfarmershub.com,HEALTHY,3,3,0,3,0,3384,30,0.89,TRANSFER
greggblanchardagencyinsurancedeals.com,HEALTHY,3,3,0,3,0,704,11,1.56,TRANSFER
greggblanchardagencyfusion.com,HEALTHY,3,3,0,3,0,684,7,1.02,TRANSFER
agentfarmerspros.com,HEALTHY,3,3,0,3,0,3365,49,1.46,TRANSFER
nicksakhapros.com,HEALTHY,3,3,0,3,0,1379,8,0.58,TRANSFER
schmitzagencyshop.com,HEALTHY,3,3,0,3,0,573,8,1.40,TRANSFER
agentfarmersllcs.com,HEALTHY,3,3,0,3,0,3265,46,1.41,TRANSFER
agentfarmersinfo.com,HEALTHY,3,3,0,3,0,3325,33,0.99,TRANSFER
greggblanchardagencyfast.com,HEALTHY,3,3,0,3,0,686,4,0.58,TRANSFER
schmitzagencytotal.com,HEALTHY,3,3,0,3,0,559,6,1.07,TRANSFER
kimwallacepersonalquote.com,HEALTHY,2,2,0,2,0,3270,27,0.83,TRANSFER
greggblanchardagencyfirst.com,HEALTHY,3,3,0,3,0,695,9,1.29,TRANSFER
nicksakhapartnersllc.com,HEALTHY,3,3,0,3,0,1369,19,1.39,TRANSFER
schmitzagencyplanonline.com,HEALTHY,3,3,0,3,0,584,4,0.68,TRANSFER
nicksakhaprotectionpartners.com,HEALTHY,3,3,0,3,0,1391,15,1.08,TRANSFER
nicksakhariskgroup.com,HEALTHY,3,3,0,3,0,1294,13,1.00,TRANSFER
tyschraufagencyservices.com,LOW_VOLUME,3,3,0,0,3,39,0,0.00,TRANSFER
tyschraufagencycorp.com,LOW_VOLUME,3,3,0,0,3,36,1,2.78,TRANSFER
therossmanmediapro.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediaportal.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
tyschraufagencyusa.com,LOW_VOLUME,3,3,0,0,3,35,0,0.00,TRANSFER
castleagencyteams.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediapartners.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediaaisolutions.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediacase.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediadevelopment.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediaautomation.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediasolution.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediaconsultants.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediawebdesign.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediaexpert.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
leblancinsuranceagencyinc.com,LOW_VOLUME,3,3,0,0,3,12,0,0.00,TRANSFER
leblancinsuranceagencysolutions.com,LOW_VOLUME,3,3,0,0,3,11,0,0.00,TRANSFER
leblancinsuranceagencyusa.com,LOW_VOLUME,3,3,0,0,3,12,0,0.00,TRANSFER
leblancinsuranceagencyhealth.com,LOW_VOLUME,3,3,0,0,3,12,0,0.00,TRANSFER
leblancinsuranceagencypro.com,LOW_VOLUME,3,3,0,0,3,12,0,0.00,TRANSFER
rossmanmediaservice.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediamarketing.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediahub.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediaexperts.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediaplan.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediaai.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
leblancinsuranceagencyinsurance.com,LOW_VOLUME,3,3,0,0,3,12,0,0.00,TRANSFER
leblancinsuranceagencygroup.com,LOW_VOLUME,3,3,0,0,3,12,0,0.00,TRANSFER
therossmanmediaconsulting.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
tyschraufagencyteams.com,LOW_VOLUME,3,3,0,0,3,37,0,0.00,TRANSFER
castleagencyusa.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediacontentcreation.com,NEVER_USED,3,2,0,0,2,0,0,0.00,TRANSFER
therossmanmedialabs.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediastories.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
rossmanmediafunnel.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediaexperts.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
toprossmanmedia.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmedianetwork.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediacorporate.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
castleagencyteam.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediaservices.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
tyschraufagencyteam.com,LOW_VOLUME,3,3,0,0,3,37,0,0.00,TRANSFER
rossmanmediavisuals.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediasolutions.com,NEVER_USED,3,2,0,0,2,0,0,0.00,TRANSFER
prorossmanmedia.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
leblancinsuranceagencyinsure.com,LOW_VOLUME,3,3,0,0,3,12,0,0.00,TRANSFER
rossmanmediabuy.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
castleagencyco.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
leblancinsuranceagencyplus.com,LOW_VOLUME,3,3,0,0,3,12,0,0.00,TRANSFER
castleagencypros.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediaservice.com,NEVER_USED,3,2,0,0,2,0,0,0.00,TRANSFER
rossmanmediacorporate.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmediagroup.com,NEVER_USED,3,3,0,0,3,0,0,0.00,TRANSFER
therossmanmedialab.com,NEVER_USED,3,2,0,0,2,0,0,0.00,TRANSFER
rossmanmediawebsupport.com,NEVER_USED,3,2,0,0,2,0,0,0.00,TRANSFER
leblancinsuranceagencyhome.com,LOW_VOLUME,3,3,0,0,3,12,0,0.00,TRANSFER
